"lat","lon","numRecords","sppRichness","genRichness","subfamRichness"
-67.5,-178.5,NA,NA,NA,NA
-66.5,-178.5,NA,NA,NA,NA
-65.5,-178.5,NA,NA,NA,NA
-64.5,-178.5,NA,NA,NA,NA
-63.5,-178.5,NA,NA,NA,NA
-62.5,-178.5,NA,NA,NA,NA
-61.5,-178.5,NA,NA,NA,NA
-60.5,-178.5,NA,NA,NA,NA
-59.5,-178.5,NA,NA,NA,NA
-58.5,-178.5,NA,NA,NA,NA
-57.5,-178.5,NA,NA,NA,NA
-56.5,-178.5,NA,NA,NA,NA
-55.5,-178.5,NA,NA,NA,NA
-54.5,-178.5,NA,NA,NA,NA
-53.5,-178.5,NA,NA,NA,NA
-52.5,-178.5,NA,NA,NA,NA
-51.5,-178.5,NA,NA,NA,NA
-50.5,-178.5,NA,NA,NA,NA
-49.5,-178.5,NA,NA,NA,NA
-48.5,-178.5,NA,NA,NA,NA
-47.5,-178.5,NA,NA,NA,NA
-46.5,-178.5,NA,NA,NA,NA
-45.5,-178.5,NA,NA,NA,NA
-44.5,-178.5,NA,NA,NA,NA
-43.5,-178.5,NA,NA,NA,NA
-42.5,-178.5,NA,NA,NA,NA
-41.5,-178.5,NA,NA,NA,NA
-40.5,-178.5,NA,NA,NA,NA
-39.5,-178.5,NA,NA,NA,NA
-38.5,-178.5,NA,NA,NA,NA
-37.5,-178.5,NA,NA,NA,NA
-36.5,-178.5,NA,NA,NA,NA
-35.5,-178.5,NA,NA,NA,NA
-34.5,-178.5,NA,NA,NA,NA
-33.5,-178.5,NA,NA,NA,NA
-32.5,-178.5,NA,NA,NA,NA
-31.5,-178.5,NA,NA,NA,NA
-30.5,-178.5,NA,NA,NA,NA
-29.5,-178.5,NA,NA,NA,NA
-28.5,-178.5,NA,NA,NA,NA
-27.5,-178.5,NA,NA,NA,NA
-26.5,-178.5,NA,NA,NA,NA
-25.5,-178.5,NA,NA,NA,NA
-24.5,-178.5,NA,NA,NA,NA
-23.5,-178.5,NA,NA,NA,NA
-22.5,-178.5,NA,NA,NA,NA
-21.5,-178.5,NA,NA,NA,NA
-20.5,-178.5,NA,NA,NA,NA
-19.5,-178.5,NA,NA,NA,NA
-18.5,-178.5,331,28,15,5
-17.5,-178.5,3,3,3,2
-16.5,-178.5,NA,NA,NA,NA
-15.5,-178.5,NA,NA,NA,NA
-14.5,-178.5,NA,NA,NA,NA
-13.5,-178.5,NA,NA,NA,NA
-12.5,-178.5,NA,NA,NA,NA
-11.5,-178.5,NA,NA,NA,NA
-10.5,-178.5,NA,NA,NA,NA
-9.5,-178.5,NA,NA,NA,NA
-8.5,-178.5,NA,NA,NA,NA
-7.5,-178.5,NA,NA,NA,NA
-6.5,-178.5,NA,NA,NA,NA
-5.5,-178.5,NA,NA,NA,NA
-4.5,-178.5,NA,NA,NA,NA
-3.5,-178.5,NA,NA,NA,NA
-2.5,-178.5,NA,NA,NA,NA
-1.5,-178.5,NA,NA,NA,NA
-0.5,-178.5,NA,NA,NA,NA
0.5,-178.5,NA,NA,NA,NA
1.5,-178.5,NA,NA,NA,NA
2.5,-178.5,NA,NA,NA,NA
3.5,-178.5,NA,NA,NA,NA
4.5,-178.5,NA,NA,NA,NA
5.5,-178.5,NA,NA,NA,NA
6.5,-178.5,NA,NA,NA,NA
7.5,-178.5,NA,NA,NA,NA
8.5,-178.5,NA,NA,NA,NA
9.5,-178.5,NA,NA,NA,NA
10.5,-178.5,NA,NA,NA,NA
11.5,-178.5,NA,NA,NA,NA
12.5,-178.5,NA,NA,NA,NA
13.5,-178.5,NA,NA,NA,NA
14.5,-178.5,NA,NA,NA,NA
15.5,-178.5,NA,NA,NA,NA
16.5,-178.5,NA,NA,NA,NA
17.5,-178.5,NA,NA,NA,NA
18.5,-178.5,NA,NA,NA,NA
19.5,-178.5,NA,NA,NA,NA
20.5,-178.5,NA,NA,NA,NA
21.5,-178.5,NA,NA,NA,NA
22.5,-178.5,NA,NA,NA,NA
23.5,-178.5,NA,NA,NA,NA
24.5,-178.5,NA,NA,NA,NA
25.5,-178.5,NA,NA,NA,NA
26.5,-178.5,NA,NA,NA,NA
27.5,-178.5,NA,NA,NA,NA
28.5,-178.5,NA,NA,NA,NA
29.5,-178.5,NA,NA,NA,NA
30.5,-178.5,NA,NA,NA,NA
31.5,-178.5,NA,NA,NA,NA
32.5,-178.5,NA,NA,NA,NA
33.5,-178.5,NA,NA,NA,NA
34.5,-178.5,NA,NA,NA,NA
35.5,-178.5,NA,NA,NA,NA
36.5,-178.5,NA,NA,NA,NA
37.5,-178.5,NA,NA,NA,NA
38.5,-178.5,NA,NA,NA,NA
39.5,-178.5,NA,NA,NA,NA
40.5,-178.5,NA,NA,NA,NA
41.5,-178.5,NA,NA,NA,NA
42.5,-178.5,NA,NA,NA,NA
43.5,-178.5,NA,NA,NA,NA
44.5,-178.5,NA,NA,NA,NA
45.5,-178.5,NA,NA,NA,NA
46.5,-178.5,NA,NA,NA,NA
47.5,-178.5,NA,NA,NA,NA
48.5,-178.5,NA,NA,NA,NA
49.5,-178.5,NA,NA,NA,NA
50.5,-178.5,NA,NA,NA,NA
51.5,-178.5,NA,NA,NA,NA
52.5,-178.5,NA,NA,NA,NA
53.5,-178.5,NA,NA,NA,NA
54.5,-178.5,NA,NA,NA,NA
55.5,-178.5,NA,NA,NA,NA
56.5,-178.5,NA,NA,NA,NA
57.5,-178.5,NA,NA,NA,NA
58.5,-178.5,NA,NA,NA,NA
59.5,-178.5,NA,NA,NA,NA
60.5,-178.5,NA,NA,NA,NA
61.5,-178.5,NA,NA,NA,NA
62.5,-178.5,NA,NA,NA,NA
63.5,-178.5,NA,NA,NA,NA
64.5,-178.5,NA,NA,NA,NA
65.5,-178.5,NA,NA,NA,NA
66.5,-178.5,NA,NA,NA,NA
67.5,-178.5,NA,NA,NA,NA
68.5,-178.5,NA,NA,NA,NA
69.5,-178.5,NA,NA,NA,NA
70.5,-178.5,NA,NA,NA,NA
71.5,-178.5,NA,NA,NA,NA
72.5,-178.5,NA,NA,NA,NA
73.5,-178.5,NA,NA,NA,NA
74.5,-178.5,NA,NA,NA,NA
75.5,-178.5,NA,NA,NA,NA
76.5,-178.5,NA,NA,NA,NA
77.5,-178.5,NA,NA,NA,NA
78.5,-178.5,NA,NA,NA,NA
79.5,-178.5,NA,NA,NA,NA
80.5,-178.5,NA,NA,NA,NA
81.5,-178.5,NA,NA,NA,NA
82.5,-178.5,NA,NA,NA,NA
83.5,-178.5,NA,NA,NA,NA
84.5,-178.5,NA,NA,NA,NA
85.5,-178.5,NA,NA,NA,NA
86.5,-178.5,NA,NA,NA,NA
87.5,-178.5,NA,NA,NA,NA
88.5,-178.5,NA,NA,NA,NA
89.5,-178.5,NA,NA,NA,NA
-89.5,-177.5,NA,NA,NA,NA
-88.5,-177.5,NA,NA,NA,NA
-87.5,-177.5,NA,NA,NA,NA
-86.5,-177.5,NA,NA,NA,NA
-85.5,-177.5,NA,NA,NA,NA
-84.5,-177.5,NA,NA,NA,NA
-83.5,-177.5,NA,NA,NA,NA
-82.5,-177.5,NA,NA,NA,NA
-81.5,-177.5,NA,NA,NA,NA
-80.5,-177.5,NA,NA,NA,NA
-79.5,-177.5,NA,NA,NA,NA
-78.5,-177.5,NA,NA,NA,NA
-77.5,-177.5,NA,NA,NA,NA
-76.5,-177.5,NA,NA,NA,NA
-75.5,-177.5,NA,NA,NA,NA
-74.5,-177.5,NA,NA,NA,NA
-73.5,-177.5,NA,NA,NA,NA
-72.5,-177.5,NA,NA,NA,NA
-71.5,-177.5,NA,NA,NA,NA
-70.5,-177.5,NA,NA,NA,NA
-69.5,-177.5,NA,NA,NA,NA
-68.5,-177.5,NA,NA,NA,NA
-67.5,-177.5,NA,NA,NA,NA
-66.5,-177.5,NA,NA,NA,NA
-65.5,-177.5,NA,NA,NA,NA
-64.5,-177.5,NA,NA,NA,NA
-63.5,-177.5,NA,NA,NA,NA
-62.5,-177.5,NA,NA,NA,NA
-61.5,-177.5,NA,NA,NA,NA
-60.5,-177.5,NA,NA,NA,NA
-59.5,-177.5,NA,NA,NA,NA
-58.5,-177.5,NA,NA,NA,NA
-57.5,-177.5,NA,NA,NA,NA
-56.5,-177.5,NA,NA,NA,NA
-55.5,-177.5,NA,NA,NA,NA
-54.5,-177.5,NA,NA,NA,NA
-53.5,-177.5,NA,NA,NA,NA
-52.5,-177.5,NA,NA,NA,NA
-51.5,-177.5,NA,NA,NA,NA
-50.5,-177.5,NA,NA,NA,NA
-49.5,-177.5,NA,NA,NA,NA
-48.5,-177.5,NA,NA,NA,NA
-47.5,-177.5,NA,NA,NA,NA
-46.5,-177.5,NA,NA,NA,NA
-45.5,-177.5,NA,NA,NA,NA
-44.5,-177.5,NA,NA,NA,NA
-43.5,-177.5,NA,NA,NA,NA
-42.5,-177.5,NA,NA,NA,NA
-41.5,-177.5,NA,NA,NA,NA
-40.5,-177.5,NA,NA,NA,NA
-39.5,-177.5,NA,NA,NA,NA
-38.5,-177.5,NA,NA,NA,NA
-37.5,-177.5,NA,NA,NA,NA
-36.5,-177.5,NA,NA,NA,NA
-35.5,-177.5,NA,NA,NA,NA
-34.5,-177.5,NA,NA,NA,NA
-33.5,-177.5,NA,NA,NA,NA
-32.5,-177.5,NA,NA,NA,NA
-31.5,-177.5,NA,NA,NA,NA
-30.5,-177.5,NA,NA,NA,NA
-29.5,-177.5,NA,NA,NA,NA
-28.5,-177.5,NA,NA,NA,NA
-27.5,-177.5,NA,NA,NA,NA
-26.5,-177.5,NA,NA,NA,NA
-25.5,-177.5,NA,NA,NA,NA
-24.5,-177.5,NA,NA,NA,NA
-23.5,-177.5,NA,NA,NA,NA
-22.5,-177.5,NA,NA,NA,NA
-21.5,-177.5,NA,NA,NA,NA
-20.5,-177.5,NA,NA,NA,NA
-19.5,-177.5,NA,NA,NA,NA
-18.5,-177.5,NA,NA,NA,NA
-17.5,-177.5,NA,NA,NA,NA
-16.5,-177.5,NA,NA,NA,NA
-15.5,-177.5,NA,NA,NA,NA
-14.5,-177.5,NA,NA,NA,NA
-13.5,-177.5,NA,NA,NA,NA
-12.5,-177.5,NA,NA,NA,NA
-11.5,-177.5,NA,NA,NA,NA
-10.5,-177.5,NA,NA,NA,NA
-9.5,-177.5,NA,NA,NA,NA
-8.5,-177.5,NA,NA,NA,NA
-7.5,-177.5,NA,NA,NA,NA
-6.5,-177.5,NA,NA,NA,NA
-5.5,-177.5,NA,NA,NA,NA
-4.5,-177.5,NA,NA,NA,NA
-3.5,-177.5,NA,NA,NA,NA
-2.5,-177.5,NA,NA,NA,NA
-1.5,-177.5,NA,NA,NA,NA
-0.5,-177.5,NA,NA,NA,NA
0.5,-177.5,NA,NA,NA,NA
1.5,-177.5,NA,NA,NA,NA
2.5,-177.5,NA,NA,NA,NA
3.5,-177.5,NA,NA,NA,NA
4.5,-177.5,NA,NA,NA,NA
5.5,-177.5,NA,NA,NA,NA
6.5,-177.5,NA,NA,NA,NA
7.5,-177.5,NA,NA,NA,NA
8.5,-177.5,NA,NA,NA,NA
9.5,-177.5,NA,NA,NA,NA
10.5,-177.5,NA,NA,NA,NA
11.5,-177.5,NA,NA,NA,NA
12.5,-177.5,NA,NA,NA,NA
13.5,-177.5,NA,NA,NA,NA
14.5,-177.5,NA,NA,NA,NA
15.5,-177.5,NA,NA,NA,NA
16.5,-177.5,NA,NA,NA,NA
17.5,-177.5,NA,NA,NA,NA
18.5,-177.5,NA,NA,NA,NA
19.5,-177.5,NA,NA,NA,NA
20.5,-177.5,NA,NA,NA,NA
21.5,-177.5,NA,NA,NA,NA
22.5,-177.5,NA,NA,NA,NA
23.5,-177.5,NA,NA,NA,NA
24.5,-177.5,NA,NA,NA,NA
25.5,-177.5,NA,NA,NA,NA
26.5,-177.5,NA,NA,NA,NA
27.5,-177.5,NA,NA,NA,NA
28.5,-177.5,NA,NA,NA,NA
29.5,-177.5,NA,NA,NA,NA
30.5,-177.5,NA,NA,NA,NA
31.5,-177.5,NA,NA,NA,NA
32.5,-177.5,NA,NA,NA,NA
33.5,-177.5,NA,NA,NA,NA
34.5,-177.5,NA,NA,NA,NA
35.5,-177.5,NA,NA,NA,NA
36.5,-177.5,NA,NA,NA,NA
37.5,-177.5,NA,NA,NA,NA
38.5,-177.5,NA,NA,NA,NA
39.5,-177.5,NA,NA,NA,NA
40.5,-177.5,NA,NA,NA,NA
41.5,-177.5,NA,NA,NA,NA
42.5,-177.5,NA,NA,NA,NA
43.5,-177.5,NA,NA,NA,NA
44.5,-177.5,NA,NA,NA,NA
45.5,-177.5,NA,NA,NA,NA
46.5,-177.5,NA,NA,NA,NA
47.5,-177.5,NA,NA,NA,NA
48.5,-177.5,NA,NA,NA,NA
49.5,-177.5,NA,NA,NA,NA
50.5,-177.5,NA,NA,NA,NA
51.5,-177.5,NA,NA,NA,NA
52.5,-177.5,NA,NA,NA,NA
53.5,-177.5,NA,NA,NA,NA
54.5,-177.5,NA,NA,NA,NA
55.5,-177.5,NA,NA,NA,NA
56.5,-177.5,NA,NA,NA,NA
57.5,-177.5,NA,NA,NA,NA
58.5,-177.5,NA,NA,NA,NA
59.5,-177.5,NA,NA,NA,NA
60.5,-177.5,NA,NA,NA,NA
61.5,-177.5,NA,NA,NA,NA
62.5,-177.5,NA,NA,NA,NA
63.5,-177.5,NA,NA,NA,NA
64.5,-177.5,NA,NA,NA,NA
65.5,-177.5,NA,NA,NA,NA
66.5,-177.5,NA,NA,NA,NA
67.5,-177.5,NA,NA,NA,NA
68.5,-177.5,NA,NA,NA,NA
69.5,-177.5,NA,NA,NA,NA
70.5,-177.5,NA,NA,NA,NA
71.5,-177.5,NA,NA,NA,NA
72.5,-177.5,NA,NA,NA,NA
73.5,-177.5,NA,NA,NA,NA
74.5,-177.5,NA,NA,NA,NA
75.5,-177.5,NA,NA,NA,NA
76.5,-177.5,NA,NA,NA,NA
77.5,-177.5,NA,NA,NA,NA
78.5,-177.5,NA,NA,NA,NA
79.5,-177.5,NA,NA,NA,NA
80.5,-177.5,NA,NA,NA,NA
81.5,-177.5,NA,NA,NA,NA
82.5,-177.5,NA,NA,NA,NA
83.5,-177.5,NA,NA,NA,NA
84.5,-177.5,NA,NA,NA,NA
85.5,-177.5,NA,NA,NA,NA
86.5,-177.5,NA,NA,NA,NA
87.5,-177.5,NA,NA,NA,NA
88.5,-177.5,NA,NA,NA,NA
89.5,-177.5,NA,NA,NA,NA
-89.5,-176.5,NA,NA,NA,NA
-88.5,-176.5,NA,NA,NA,NA
-87.5,-176.5,NA,NA,NA,NA
-86.5,-176.5,NA,NA,NA,NA
-85.5,-176.5,NA,NA,NA,NA
-84.5,-176.5,NA,NA,NA,NA
-83.5,-176.5,NA,NA,NA,NA
-82.5,-176.5,NA,NA,NA,NA
-81.5,-176.5,NA,NA,NA,NA
-80.5,-176.5,NA,NA,NA,NA
-79.5,-176.5,NA,NA,NA,NA
-78.5,-176.5,NA,NA,NA,NA
-77.5,-176.5,NA,NA,NA,NA
-76.5,-176.5,NA,NA,NA,NA
-75.5,-176.5,NA,NA,NA,NA
-74.5,-176.5,NA,NA,NA,NA
-73.5,-176.5,NA,NA,NA,NA
-72.5,-176.5,NA,NA,NA,NA
-71.5,-176.5,NA,NA,NA,NA
-70.5,-176.5,NA,NA,NA,NA
-69.5,-176.5,NA,NA,NA,NA
-68.5,-176.5,NA,NA,NA,NA
-67.5,-176.5,NA,NA,NA,NA
-66.5,-176.5,NA,NA,NA,NA
-65.5,-176.5,NA,NA,NA,NA
-64.5,-176.5,NA,NA,NA,NA
-63.5,-176.5,NA,NA,NA,NA
-62.5,-176.5,NA,NA,NA,NA
-61.5,-176.5,NA,NA,NA,NA
-60.5,-176.5,NA,NA,NA,NA
-59.5,-176.5,NA,NA,NA,NA
-58.5,-176.5,NA,NA,NA,NA
-57.5,-176.5,NA,NA,NA,NA
-56.5,-176.5,NA,NA,NA,NA
-55.5,-176.5,NA,NA,NA,NA
-54.5,-176.5,NA,NA,NA,NA
-53.5,-176.5,NA,NA,NA,NA
-52.5,-176.5,NA,NA,NA,NA
-51.5,-176.5,NA,NA,NA,NA
-50.5,-176.5,NA,NA,NA,NA
-49.5,-176.5,NA,NA,NA,NA
-48.5,-176.5,NA,NA,NA,NA
-47.5,-176.5,NA,NA,NA,NA
-46.5,-176.5,NA,NA,NA,NA
-45.5,-176.5,NA,NA,NA,NA
-44.5,-176.5,NA,NA,NA,NA
-43.5,-176.5,NA,NA,NA,NA
-42.5,-176.5,NA,NA,NA,NA
-41.5,-176.5,NA,NA,NA,NA
-40.5,-176.5,NA,NA,NA,NA
-39.5,-176.5,NA,NA,NA,NA
-38.5,-176.5,NA,NA,NA,NA
-37.5,-176.5,NA,NA,NA,NA
-36.5,-176.5,NA,NA,NA,NA
-35.5,-176.5,NA,NA,NA,NA
-34.5,-176.5,NA,NA,NA,NA
-33.5,-176.5,NA,NA,NA,NA
-32.5,-176.5,NA,NA,NA,NA
-31.5,-176.5,NA,NA,NA,NA
-30.5,-176.5,NA,NA,NA,NA
-29.5,-176.5,NA,NA,NA,NA
